name,id,accuracy,pp,power,priority,type,generation,short_descripton,damage_class
Twineedle,41,100.0,20,25.0,0,Bug,Generation I,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,Physical
Pin Missile,42,95.0,20,25.0,0,Bug,Generation I,Hits 2-5 times in one turn.,Physical
Leer,43,100.0,30,,0,Normal,Generation I,Lowers the target's Defense by one stage.,Status
Bite,44,100.0,25,60.0,0,Dark,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Growl,45,100.0,40,,0,Normal,Generation I,Lowers the target's Attack by one stage.,Status
Roar,46,,20,,-6,Normal,Generation I,Immediately ends wild battles.  Forces trainers to switch Pokémon.,Status
Sing,47,55.0,15,,0,Normal,Generation I,Puts the target to sleep.,Status
Supersonic,48,55.0,20,,0,Normal,Generation I,Confuses the target.,Status
Sonic Boom,49,90.0,20,,0,Normal,Generation I,Inflicts 20 points of damage.,Special
Disable,50,100.0,20,,0,Normal,Generation I,Disables the target's last used move for 1-8 turns.,Status
Acid,51,100.0,30,40.0,0,Poison,Generation I,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special
Ember,52,100.0,25,40.0,0,Fire,Generation I,Has a $effect_chance% chance to burn the target.,Special
Flamethrower,53,100.0,15,90.0,0,Fire,Generation I,Has a $effect_chance% chance to burn the target.,Special
Mist,54,,30,,0,Ice,Generation I,Protects the user's stats from being changed by enemy moves.,Status
Water Gun,55,100.0,25,40.0,0,Water,Generation I,Inflicts regular damage with no additional effect.,Special
Hydro Pump,56,80.0,5,110.0,0,Water,Generation I,Inflicts regular damage with no additional effect.,Special
Surf,57,100.0,15,90.0,0,Water,Generation I,Inflicts regular damage and can hit Dive users.,Special
Ice Beam,58,100.0,10,90.0,0,Ice,Generation I,Has a $effect_chance% chance to freeze the target.,Special
Blizzard,59,70.0,5,110.0,0,Ice,Generation I,Has a $effect_chance% chance to freeze the target.,Special
Psybeam,60,100.0,20,65.0,0,Psychic,Generation I,Has a $effect_chance% chance to confuse the target.,Special
Bubble Beam,61,100.0,20,65.0,0,Water,Generation I,Has a $effect_chance% chance to lower the target's Speed by one stage.,Special
Aurora Beam,62,100.0,20,65.0,0,Ice,Generation I,Has a $effect_chance% chance to lower the target's Attack by one stage.,Special
Hyper Beam,63,90.0,5,150.0,0,Normal,Generation I,User foregoes its next turn to recharge.,Special
Peck,64,100.0,35,35.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical
Drill Peck,65,100.0,20,80.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical
Submission,66,80.0,20,80.0,0,Fighting,Generation I,User receives 1/4 the damage it inflicts in recoil.,Physical
Low Kick,67,100.0,20,,0,Fighting,Generation I,"Inflicts more damage to heavier targets, with a maximum of 120 power.",Physical
Counter,68,100.0,20,,-5,Fighting,Generation I,Inflicts twice the damage the user received from the last physical hit it took.,Physical
Seismic Toss,69,100.0,20,,0,Fighting,Generation I,Inflicts damage equal to the user's level.,Physical
Strength,70,100.0,15,80.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Absorb,71,100.0,25,20.0,0,Grass,Generation I,Drains half the damage inflicted to heal the user.,Special
Mega Drain,72,100.0,15,40.0,0,Grass,Generation I,Drains half the damage inflicted to heal the user.,Special
Leech Seed,73,90.0,10,,0,Grass,Generation I,"Seeds the target, stealing HP from it every turn.",Status
Growth,74,,20,,0,Normal,Generation I,Raises the user's Attack and Special Attack by one stage.,Status
Razor Leaf,75,95.0,25,55.0,0,Grass,Generation I,Has an increased chance for a critical hit.,Physical
Solar Beam,76,100.0,10,120.0,0,Grass,Generation I,Requires a turn to charge before attacking.,Special
Poison Powder,77,75.0,35,,0,Poison,Generation I,Poisons the target.,Status
Stun Spore,78,75.0,30,,0,Grass,Generation I,Paralyzes the target.,Status
Sleep Powder,79,75.0,15,,0,Grass,Generation I,Puts the target to sleep.,Status
Petal Dance,80,100.0,10,120.0,0,Grass,Generation I,"Hits every turn for 2-3 turns, then confuses the user.",Special
String Shot,81,95.0,40,,0,Bug,Generation I,Lowers the target's Speed by two stages.,Status
Dragon Rage,82,100.0,10,,0,Dragon,Generation I,Inflicts 40 points of damage.,Special
Fire Spin,83,85.0,15,35.0,0,Fire,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Special
Thunder Shock,84,100.0,30,40.0,0,Electric,Generation I,Has a $effect_chance% chance to paralyze the target.,Special
Thunderbolt,85,100.0,15,90.0,0,Electric,Generation I,Has a $effect_chance% chance to paralyze the target.,Special
Thunder Wave,86,90.0,20,,0,Electric,Generation I,Paralyzes the target.,Status
Thunder,87,70.0,10,110.0,0,Electric,Generation I,Has a $effect_chance% chance to paralyze the target.,Special
Rock Throw,88,90.0,15,50.0,0,Rock,Generation I,Inflicts regular damage with no additional effect.,Physical
Earthquake,89,100.0,10,100.0,0,Ground,Generation I,Inflicts regular damage and can hit Dig users.,Physical
Fissure,90,30.0,5,,0,Ground,Generation I,Causes a one-hit KO.,Physical
Dig,91,100.0,10,80.0,0,Ground,Generation I,"User digs underground, dodging all attacks, and hits next turn.",Physical
Toxic,92,90.0,10,,0,Poison,Generation I,"Badly poisons the target, inflicting more damage every turn.",Status
Confusion,93,100.0,25,50.0,0,Psychic,Generation I,Has a $effect_chance% chance to confuse the target.,Special
Psychic,94,100.0,10,90.0,0,Psychic,Generation I,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special
Hypnosis,95,60.0,20,,0,Psychic,Generation I,Puts the target to sleep.,Status
Meditate,96,,40,,0,Psychic,Generation I,Raises the user's Attack by one stage.,Status
Agility,97,,30,,0,Psychic,Generation I,Raises the user's Speed by two stages.,Status
Quick Attack,98,100.0,30,40.0,1,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Rage,99,100.0,20,20.0,0,Normal,Generation I,"If the user is hit after using this move, its Attack rises by one stage.",Physical
Teleport,100,,20,,-6,Psychic,Generation I,Immediately ends wild battles.  No effect otherwise.,Status
Night Shade,101,100.0,15,,0,Ghost,Generation I,Inflicts damage equal to the user's level.,Special
Mimic,102,,10,,0,Normal,Generation I,Copies the target's last used move.,Status
Screech,103,85.0,40,,0,Normal,Generation I,Lowers the target's Defense by two stages.,Status
Double Team,104,,15,,0,Normal,Generation I,Raises the user's evasion by one stage.,Status
Recover,105,,10,,0,Normal,Generation I,Heals the user by half its max HP.,Status
Harden,106,,30,,0,Normal,Generation I,Raises the user's Defense by one stage.,Status
Minimize,107,,10,,0,Normal,Generation I,Raises the user's evasion by two stages.,Status
Smokescreen,108,100.0,20,,0,Normal,Generation I,Lowers the target's accuracy by one stage.,Status
Confuse Ray,109,100.0,10,,0,Ghost,Generation I,Confuses the target.,Status
Withdraw,110,,40,,0,Water,Generation I,Raises the user's Defense by one stage.,Status
Defense Curl,111,,40,,0,Normal,Generation I,Raises user's Defense by one stage.,Status
Barrier,112,,20,,0,Psychic,Generation I,Raises the user's Defense by two stages.,Status
Light Screen,113,,30,,0,Psychic,Generation I,Reduces damage from special attacks by 50% for five turns.,Status
Haze,114,,30,,0,Ice,Generation I,"Resets all Pokémon's stats, accuracy, and evasion.",Status
Reflect,115,,20,,0,Psychic,Generation I,Reduces damage from physical attacks by half.,Status
Focus Energy,116,,30,,0,Normal,Generation I,Increases the user's chance to score a critical hit.,Status
Bide,117,,10,,1,Normal,Generation I,"User waits for two turns, then hits back for twice the damage it took.",Physical
Metronome,118,,10,,0,Normal,Generation I,Randomly selects and uses any move in the game.,Status
Mirror Move,119,,20,,0,Flying,Generation I,Uses the target's last used move.,Status
Self Destruct,120,100.0,5,200.0,0,Normal,Generation I,User faints.,Physical
Egg Bomb,121,75.0,10,100.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical
Lick,122,100.0,30,30.0,0,Ghost,Generation I,Has a $effect_chance% chance to paralyze the target.,Physical
Smog,123,70.0,20,30.0,0,Poison,Generation I,Has a $effect_chance% chance to poison the target.,Special
Sludge,124,100.0,20,65.0,0,Poison,Generation I,Has a $effect_chance% chance to poison the target.,Special
Bone Club,125,85.0,20,65.0,0,Ground,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Fire Blast,126,85.0,5,110.0,0,Fire,Generation I,Has a $effect_chance% chance to burn the target.,Special
Waterfall,127,100.0,15,80.0,0,Water,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Clamp,128,85.0,15,35.0,0,Water,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physical
Swift,129,,20,60.0,0,Normal,Generation I,Never misses.,Special
Skull Bash,130,100.0,10,130.0,0,Normal,Generation I,Raises the user's Defense by one stage.  User charges for one turn before attacking.,Physical
Spike Cannon,131,100.0,15,20.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical
Constrict,132,100.0,35,10.0,0,Normal,Generation I,Has a $effect_chance% chance to lower the target's Speed by one stage.,Physical
Amnesia,133,,20,,0,Psychic,Generation I,Raises the user's Special Defense by two stages.,Status
Kinesis,134,80.0,15,,0,Psychic,Generation I,Lowers the target's accuracy by one stage.,Status
Soft Boiled,135,,10,,0,Normal,Generation I,Heals the user by half its max HP.,Status
High Jump Kick,136,90.0,10,130.0,0,Fighting,Generation I,"If the user misses, it takes half the damage it would have inflicted in recoil.",Physical
Glare,137,100.0,30,,0,Normal,Generation I,Paralyzes the target.,Status
Dream Eater,138,100.0,15,100.0,0,Psychic,Generation I,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,Special
Poison Gas,139,90.0,40,,0,Poison,Generation I,Poisons the target.,Status
Barrage,140,85.0,20,15.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical
Leech Life,141,100.0,10,80.0,0,Bug,Generation I,Drains half the damage inflicted to heal the user.,Physical
Lovely Kiss,142,75.0,10,,0,Normal,Generation I,Puts the target to sleep.,Status
Sky Attack,143,90.0,5,140.0,0,Flying,Generation I,User charges for one turn before attacking.  Has a $effect_chance% chance to make the target flinch.,Physical
Transform,144,,10,,0,Normal,Generation I,User becomes a copy of the target until it leaves battle.,Status
Bubble,145,100.0,30,40.0,0,Water,Generation I,Has a $effect_chance% chance to lower the target's Speed by one stage.,Special
Dizzy Punch,146,100.0,10,70.0,0,Normal,Generation I,Has a $effect_chance% chance to confuse the target.,Physical
Spore,147,100.0,15,,0,Grass,Generation I,Puts the target to sleep.,Status
Flash,148,100.0,20,,0,Normal,Generation I,Lowers the target's accuracy by one stage.,Status
Psywave,149,100.0,15,,0,Psychic,Generation I,Inflicts damage between 50% and 150% of the user's level.,Special
Splash,150,,40,,0,Normal,Generation I,Does nothing.,Status
Acid Armor,151,,20,,0,Poison,Generation I,Raises the user's Defense by two stages.,Status
Crabhammer,152,90.0,10,100.0,0,Water,Generation I,Has an increased chance for a critical hit.,Physical
Explosion,153,100.0,5,250.0,0,Normal,Generation I,User faints.,Physical
Fury Swipes,154,80.0,15,18.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical
Bonemerang,155,90.0,10,50.0,0,Ground,Generation I,Hits twice in one turn.,Physical
Rest,156,,10,,0,Psychic,Generation I,"User sleeps for two turns, completely healing itself.",Status
Rock Slide,157,90.0,10,75.0,0,Rock,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Hyper Fang,158,90.0,15,80.0,0,Normal,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical
Sharpen,159,,30,,0,Normal,Generation I,Raises the user's Attack by one stage.,Status
Conversion,160,,30,,0,Normal,Generation I,User's type changes to the type of one of its moves at random.,Status
Tri Attack,161,100.0,10,80.0,0,Normal,Generation I,"Has a $effect_chance% chance to burn, freeze, or paralyze the target.",Special
Super Fang,162,90.0,10,,0,Normal,Generation I,Inflicts damage equal to half the target's HP.,Physical
Slash,163,100.0,20,70.0,0,Normal,Generation I,Has an increased chance for a critical hit.,Physical
Substitute,164,,10,,0,Normal,Generation I,"Transfers 1/4 of the user's max HP into a doll, protecting the user from further damage or status changes until it breaks.",Status
Struggle,165,,1,50.0,0,Normal,Generation I,User takes 1/4 its max HP in recoil.,Physical
Sketch,166,,1,,0,Normal,Generation Ii,Permanently becomes the target's last used move.,Status
Triple Kick,167,90.0,10,10.0,0,Fighting,Generation Ii,"Hits three times, increasing power by 100% with each successful hit.",Physical
Thief,168,100.0,25,60.0,0,Dark,Generation Ii,Takes the target's item.,Physical
Spider Web,169,,10,,0,Bug,Generation Ii,Prevents the target from leaving battle.,Status
Mind Reader,170,,5,,0,Normal,Generation Ii,Ensures that the user's next move will hit the target.,Status
Nightmare,171,100.0,15,,0,Ghost,Generation Ii,Target loses 1/4 its max HP every turn as long as it's asleep.,Status
Flame Wheel,172,100.0,25,60.0,0,Fire,Generation Ii,Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.,Physical
Snore,173,100.0,15,50.0,0,Normal,Generation Ii,Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.,Special
Curse,174,,10,,0,Ghost,Generation Ii,Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,Status
Flail,175,100.0,15,,0,Normal,Generation Ii,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",Physical
Conversion 2,176,,30,,0,Normal,Generation Ii,Changes the user's type to a random type either resistant or immune to the last move used against it.,Status
Aeroblast,177,95.0,5,100.0,0,Flying,Generation Ii,Has an increased chance for a critical hit.,Special
Cotton Spore,178,100.0,40,,0,Grass,Generation Ii,Lowers the target's Speed by two stages.,Status
Reversal,179,100.0,15,,0,Fighting,Generation Ii,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",Physical
Spite,180,100.0,10,,0,Ghost,Generation Ii,Lowers the PP of the target's last used move by 4.,Status
Powder Snow,181,100.0,25,40.0,0,Ice,Generation Ii,Has a $effect_chance% chance to freeze the target.,Special
Protect,182,,10,,4,Normal,Generation Ii,Prevents any moves from hitting the user this turn.,Status
Mach Punch,183,100.0,30,40.0,1,Fighting,Generation Ii,Inflicts regular damage with no additional effect.,Physical
Scary Face,184,100.0,10,,0,Normal,Generation Ii,Lowers the target's Speed by two stages.,Status
Feint Attack,185,,20,60.0,0,Dark,Generation Ii,Never misses.,Physical
Sweet Kiss,186,75.0,10,,0,Fairy,Generation Ii,Confuses the target.,Status
Belly Drum,187,,10,,0,Normal,Generation Ii,User pays half its max HP to max out its Attack.,Status
Sludge Bomb,188,100.0,10,90.0,0,Poison,Generation Ii,Has a $effect_chance% chance to poison the target.,Special
Mud Slap,189,100.0,10,20.0,0,Ground,Generation Ii,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Special
Octazooka,190,85.0,10,65.0,0,Water,Generation Ii,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Special
Spikes,191,,20,,0,Ground,Generation Ii,"Scatters Spikes, hurting opposing Pokémon that switch in.",Status
Zap Cannon,192,50.0,5,120.0,0,Electric,Generation Ii,Has a $effect_chance% chance to paralyze the target.,Special
Foresight,193,,40,,0,Normal,Generation Ii,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",Status
Destiny Bond,194,,5,,0,Ghost,Generation Ii,"If the user faints this turn, the target automatically will, too.",Status
Perish Song,195,,5,,0,Normal,Generation Ii,User and target both faint after three turns.,Status
Icy Wind,196,95.0,15,55.0,0,Ice,Generation Ii,Has a $effect_chance% chance to lower the target's Speed by one stage.,Special
Detect,197,,5,,4,Fighting,Generation Ii,Prevents any moves from hitting the user this turn.,Status
Bone Rush,198,90.0,10,25.0,0,Ground,Generation Ii,Hits 2-5 times in one turn.,Physical
Lock On,199,,5,,0,Normal,Generation Ii,Ensures that the user's next move will hit the target.,Status
Outrage,200,100.0,10,120.0,0,Dragon,Generation Ii,"Hits every turn for 2-3 turns, then confuses the user.",Physical
Sandstorm,201,,10,,0,Rock,Generation Ii,Changes the weather to a sandstorm for five turns.,Status
Giga Drain,202,100.0,10,75.0,0,Grass,Generation Ii,Drains half the damage inflicted to heal the user.,Special
Endure,203,,10,,4,Normal,Generation Ii,Prevents the user's HP from lowering below 1 this turn.,Status
Charm,204,100.0,20,,0,Fairy,Generation Ii,Lowers the target's Attack by two stages.,Status
Rollout,205,90.0,20,30.0,0,Rock,Generation Ii,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",Physical
False Swipe,206,100.0,40,40.0,0,Normal,Generation Ii,Cannot lower the target's HP below 1.,Physical
Swagger,207,85.0,15,,0,Normal,Generation Ii,Raises the target's Attack by two stages and confuses the target.,Status
Milk Drink,208,,10,,0,Normal,Generation Ii,Heals the user by half its max HP.,Status
Spark,209,100.0,20,65.0,0,Electric,Generation Ii,Has a $effect_chance% chance to paralyze the target.,Physical
Fury Cutter,210,95.0,20,40.0,0,Bug,Generation Ii,"Power doubles every turn this move is used in succession after the first, maxing out after five turns.",Physical
Steel Wing,211,90.0,25,70.0,0,Steel,Generation Ii,Has a $effect_chance% chance to raise the user's Defense by one stage.,Physical
Mean Look,212,,5,,0,Normal,Generation Ii,Prevents the target from leaving battle.,Status
Attract,213,100.0,15,,0,Normal,Generation Ii,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.",Status
Sleep Talk,214,,10,,0,Normal,Generation Ii,Randomly uses one of the user's other three moves.  Only works if the user is sleeping.,Status
Heal Bell,215,,5,,0,Normal,Generation Ii,Cures the entire party of major status effects.,Status
Return,216,100.0,20,,0,Normal,Generation Ii,"Power increases with happiness, up to a maximum of 102.",Physical
Present,217,90.0,15,,0,Normal,Generation Ii,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,Physical
Frustration,218,100.0,20,,0,Normal,Generation Ii,"Power increases as happiness decreases, up to a maximum of 102.",Physical
Safeguard,219,,25,,0,Normal,Generation Ii,Protects the user's field from major status ailments and confusion for five turns.,Status
Pain Split,220,,20,,0,Normal,Generation Ii,Sets the user's and targets's HP to the average of their current HP.,Status
Sacred Fire,221,95.0,5,100.0,0,Fire,Generation Ii,Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.,Physical
Magnitude,222,100.0,30,,0,Ground,Generation Ii,Power varies randomly from 10 to 150.,Physical
Dynamic Punch,223,50.0,5,100.0,0,Fighting,Generation Ii,Has a $effect_chance% chance to confuse the target.,Physical
Megahorn,224,85.0,10,120.0,0,Bug,Generation Ii,Inflicts regular damage with no additional effect.,Physical
Dragon Breath,225,100.0,20,60.0,0,Dragon,Generation Ii,Has a $effect_chance% chance to paralyze the target.,Special
Baton Pass,226,,40,,0,Normal,Generation Ii,Allows the trainer to switch out the user and pass effects along to its replacement.,Status
Encore,227,100.0,5,,0,Normal,Generation Ii,Forces the target to repeat its last used move every turn for 2 to 6 turns.,Status
Pursuit,228,100.0,20,40.0,0,Dark,Generation Ii,"Has double power against, and can hit, Pokémon attempting to switch out.",Physical
Rapid Spin,229,100.0,40,50.0,0,Normal,Generation Ii,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.",Physical
Sweet Scent,230,100.0,20,,0,Normal,Generation Ii,Lowers the target's evasion by one stage.,Status
Iron Tail,231,75.0,15,100.0,0,Steel,Generation Ii,Has a $effect_chance% chance to lower the target's Defense by one stage.,Physical
Metal Claw,232,95.0,35,50.0,0,Steel,Generation Ii,Has a $effect_chance% chance to raise the user's Attack by one stage.,Physical
Vital Throw,233,,10,70.0,-1,Fighting,Generation Ii,Never misses.,Physical
Morning Sun,234,,5,,0,Normal,Generation Ii,Heals the user by half its max HP.  Affected by weather.,Status
Synthesis,235,,5,,0,Grass,Generation Ii,Heals the user by half its max HP.  Affected by weather.,Status
Moonlight,236,,5,,0,Fairy,Generation Ii,Heals the user by half its max HP.  Affected by weather.,Status
Hidden Power,237,100.0,15,60.0,0,Normal,Generation Ii,Power and type depend upon user's IVs.  Power can range from 30 to 70.,Special
Cross Chop,238,80.0,5,100.0,0,Fighting,Generation Ii,Has an increased chance for a critical hit.,Physical
Twister,239,100.0,20,40.0,0,Dragon,Generation Ii,Has a $effect_chance% chance to make the target flinch.,Special
Rain Dance,240,,5,,0,Water,Generation Ii,Changes the weather to rain for five turns.,Status
Sunny Day,241,,5,,0,Fire,Generation Ii,Changes the weather to sunny for five turns.,Status
Crunch,242,100.0,15,80.0,0,Dark,Generation Ii,Has a $effect_chance% chance to lower the target's Defense by one stage.,Physical
Mirror Coat,243,100.0,20,,-5,Psychic,Generation Ii,Inflicts twice the damage the user received from the last special hit it took.,Special
Psych Up,244,,10,,0,Normal,Generation Ii,Discards the user's stat changes and copies the target's.,Status
Extreme Speed,245,100.0,5,80.0,2,Normal,Generation Ii,Inflicts regular damage with no additional effect.,Physical
Ancient Power,246,100.0,5,60.0,0,Rock,Generation Ii,Has a $effect_chance% chance to raise all of the user's stats by one stage.,Special
Shadow Ball,247,100.0,15,80.0,0,Ghost,Generation Ii,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special
Future Sight,248,100.0,10,120.0,0,Psychic,Generation Ii,Hits the target two turns later.,Special
Rock Smash,249,100.0,15,40.0,0,Fighting,Generation Ii,Has a $effect_chance% chance to lower the target's Defense by one stage.,Physical
Whirlpool,250,85.0,15,35.0,0,Water,Generation Ii,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,Special
Beat Up,251,100.0,10,,0,Dark,Generation Ii,Hits once for every conscious Pokémon the trainer has.,Physical
Fake Out,252,100.0,10,40.0,3,Normal,Generation Iii,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,Physical
Uproar,253,100.0,10,90.0,0,Normal,Generation Iii,Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,Special
Stockpile,254,,20,,0,Normal,Generation Iii,Stores energy up to three times for use with Spit Up and Swallow.,Status
Spit Up,255,100.0,10,,0,Normal,Generation Iii,Power is 100 times the amount of energy Stockpiled.,Special
Swallow,256,,10,,0,Normal,Generation Iii,"Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",Status
Heat Wave,257,90.0,10,95.0,0,Fire,Generation Iii,Has a $effect_chance% chance to burn the target.,Special
Hail,258,,10,,0,Ice,Generation Iii,Changes the weather to a hailstorm for five turns.,Status
Torment,259,100.0,15,,0,Dark,Generation Iii,Prevents the target from using the same move twice in a row.,Status
Flatter,260,100.0,15,,0,Dark,Generation Iii,Raises the target's Special Attack by one stage and confuses the target.,Status
Will O Wisp,261,85.0,15,,0,Fire,Generation Iii,Burns the target.,Status
Memento,262,100.0,10,,0,Dark,Generation Iii,Lowers the target's Attack and Special Attack by two stages.  User faints.,Status
Facade,263,100.0,20,70.0,0,Normal,Generation Iii,"Power doubles if user is burned, paralyzed, or poisoned.",Physical
Focus Punch,264,100.0,20,150.0,-3,Fighting,Generation Iii,"If the user takes damage before attacking, the attack is canceled.",Physical
Smelling Salts,265,100.0,10,70.0,0,Normal,Generation Iii,"If the target is paralyzed, inflicts double damage and cures the paralysis.",Physical
Follow Me,266,,20,,2,Normal,Generation Iii,Redirects the target's single-target effects to the user for this turn.,Status
Nature Power,267,,20,,0,Normal,Generation Iii,Uses a move which depends upon the terrain.,Status
Charge,268,,20,,0,Electric,Generation Iii,Raises the user's Special Defense by one stage.  User's Electric moves have doubled power next turn.,Status
Taunt,269,100.0,20,,0,Dark,Generation Iii,"For the next few turns, the target can only use damaging moves.",Status
Helping Hand,270,,20,,5,Normal,Generation Iii,Ally's next move inflicts half more damage.,Status
Trick,271,100.0,10,,0,Psychic,Generation Iii,User and target swap items.,Status
Role Play,272,,10,,0,Psychic,Generation Iii,Copies the target's ability.,Status
Wish,273,,10,,0,Normal,Generation Iii,User will recover half its max HP at the end of the next turn.,Status
